county_fips_code,unr_16,funr_16,munr_16,unr_20to64,funr_20to64,munr_20to64,flfpr_20to64,flfpr_20to64_under6,flfpr_20to64_6to17,flfpr_20to64_under6_6to17,mlfpr_20to64,pr_f,pr_p,mhi_2018,me_2018,fme_2018,mme_2018,total_pop,one_race,one_race_w,one_race_b,one_race_i,one_race_a,one_race_h,one_race_other,two_races,hispanic,households,h_under6_both_work,h_under6_f_work,h_under6_m_work,h_under6_single_m,h_6to17_both_work,h_6to17_fwork,h_6to17_mwork,h_6to17_single_m,emp_m,memp_m,femp_m,emp_service,memp_service,femp_service,emp_sales,memp_sales,femp_sales,emp_n,memp_n,femp_n,emp_p,memp_p,femp_p,mcsa,mc_preschool
37097,6.03,6.65,5.51,5.4,6.2,4.8,70.7,75.3,75.7,61.3,86.2,9,11.8,58198,32477,25566,41192,172525,98.1,81.6,12.3,0.3,2.3,0.1,1.4,1.9,7.5,65246,3834,2723,153,2559,12428,5920,711,6290,34.73,31.53,38.62,15.55,11.85,20.03,21.67,14.65,30.17,9,15.61,0.99,19.05,26.37,10.19,115.72,149.99
37129,6.15,6.24,6.07,5.6,5.6,5.5,74.2,73,74.5,66.6,79.8,10.3,17.3,52716,30415,25587,35222,224231,97.8,81,14,0.2,1.3,0.1,1.1,2.2,5.4,93636,5129,2960,258,3226,10588,4998,838,8476,39.81,36.29,43.31,19.33,16.11,22.54,23.78,18.3,29.24,8.25,16.25,0.29,8.83,13.06,4.62,104.15,134.99
37049,7.98,8.21,7.77,6.9,7.1,6.6,66.9,64.8,79.5,45.8,84.8,10.5,15.3,50870,28013,24153,30872,103082,97.5,70.3,21.7,0.8,2.8,0.1,1.9,2.5,7.2,40871,2510,3031,149,1627,4502,3063,353,3857,34.4,28.45,40.9,19.24,15.82,22.98,20.2,12.74,28.35,12.38,22.37,1.46,13.79,20.62,6.32,104.15,134.99
37147,9.22,9.58,8.83,8,8.5,7.4,74.6,76.4,84.7,76.8,81,15,23.9,44315,27376,23196,31989,177372,97.6,57.6,34.8,0.3,1.7,0,3.2,2.4,6.1,69169,4263,1906,236,4806,10368,2572,877,8806,37.44,34.4,40.37,20.78,17.42,24,21.36,14.97,27.5,7.59,14.41,1.05,12.82,18.8,7.08,111.86,144.99
37035,6.95,7.05,6.87,6,6.1,5.9,71.7,69,78.1,67.4,83.2,9.5,13.2,51157,30341,25330,34865,156729,97.8,79,8.1,0.3,4.2,0,6.1,2.2,9.4,61099,4070,2238,62,2673,10539,4299,610,5144,29.42,24.11,35.4,15.73,12.48,19.4,22.27,16.12,29.2,7.69,13.82,0.79,24.88,33.48,15.21,84.86,109.99
37199,7.79,8.79,6.94,8.2,9.5,7.1,64.6,76.8,75.1,74.8,76.6,14.8,19.2,39888,29258,25397,32038,17667,98.5,96.1,0.7,0.5,0.2,0,0.8,1.5,5.1,7402,436,117,81,225,1054,543,185,331,32.87,23.89,43.55,18.31,16.48,20.49,17.13,10.8,24.65,14.22,24.33,2.2,17.47,24.51,9.11,87.06,112.85
37093,9.06,8.95,9.17,8.9,9.1,8.7,64,49.6,70.7,64,73.2,16.9,21,47535,31097,24181,38397,53239,94.9,45.2,33.3,8.4,1.4,0.2,6.4,5.1,13.1,17722,1662,1520,76,1432,3043,1681,517,2657,29.8,21.11,37.63,18.14,16.06,20,21.16,14.48,27.17,12.45,23.73,2.29,18.45,24.61,12.91,96.43,124.99
37047,7.01,6.67,7.35,7.2,6.9,7.6,62.5,61.9,78.4,55.5,57.6,17.6,23.8,36398,26780,24190,30158,56293,99,62,30.9,3.8,0.4,0,1.9,1,5.2,22306,953,491,11,1600,2621,990,227,2503,27.39,16.99,37.54,22.74,19.52,25.88,19.64,13.09,26.04,12.3,22.4,2.44,17.93,28,8.11,89.49,115.99
37141,7.38,7.27,7.47,6.4,6.2,6.6,68.3,73.6,72.1,66.5,77.1,9.9,15.1,52989,29636,24338,33531,59020,97.3,76.9,14.9,0.3,0.5,0.1,4.7,2.7,6.9,21766,1868,694,100,706,4002,1616,375,1477,32.86,27.88,38.41,18.76,16.19,21.63,21.02,11.7,31.39,14.05,25.06,1.79,13.31,19.18,6.78,96.43,124.99
37177,5.34,5.47,5.2,5.8,6.3,5.2,74.4,75.3,78.8,79.5,42.8,18.6,25.2,35472,23972,20455,24899,4119,98.1,54.6,37.6,0.8,0,0,5,1.9,6.4,1631,43,15,0,112,116,27,7,105,19.1,13.37,24.38,29.94,31.55,28.45,27.76,12.97,41.38,8.14,16.98,0,15.06,25.13,5.79,77.15,99.99
37073,6.84,4.93,8.6,5.7,2.3,8.7,71.3,89.6,72.8,76,78.3,8.5,11.1,52205,32099,27780,40240,11563,98.4,63.3,33.7,0.9,0.5,0,0.1,1.6,0.4,4477,224,57,0,203,697,221,0,579,30.5,19.64,41.8,15.18,6.61,24.11,17.07,6.95,27.61,11.52,21.8,0.83,25.72,44.99,5.66,65.58,84.99
37039,6.38,3.97,8.73,6.7,4.1,9.3,66.1,81.6,77.6,74.4,67.4,10.4,16.5,40294,26163,24891,28034,27668,97.8,93.6,1.3,1.6,0.7,0,0.7,2.2,3.1,11895,549,286,57,261,1225,456,294,760,29.95,21.38,38.34,19.56,18.2,20.9,22.36,13.05,31.46,12.83,25.95,0,15.29,21.42,9.3,65.58,84.99
