year,unitid,institution_name,city_txt,state_cd,zip_text,classification_code,classification_name,classification_other,ef_male_count,ef_female_count,ef_total_count,sector_cd,sector_name,sportscode,partic_men,partic_women,partic_coed_men,partic_coed_women,sum_partic_men,sum_partic_women,rev_men,rev_women,total_rev_menwomen,exp_men,exp_women,total_exp_menwomen,sports,students_1k,institution_code
2016,100663,University of Alabama at Birmingham,Birmingham,AL,35294,1,NCAA Division I-FBS,NA,3668,5273,8941,1,"Public, 4-year or above",1,36,NA,NA,NA,36,0,1195193,NA,1195193,1195193,NA,1195193,Baseball,8.941,1
2016,100663,University of Alabama at Birmingham,Birmingham,AL,35294,1,NCAA Division I-FBS,NA,3668,5273,8941,1,"Public, 4-year or above",2,13,22,NA,NA,13,22,3369190,1714933,5084123,3357016,1712518,5069534,Basketball,8.941,1
2016,100663,University of Alabama at Birmingham,Birmingham,AL,35294,1,NCAA Division I-FBS,NA,3668,5273,8941,1,"Public, 4-year or above",3,NA,70,NA,NA,0,70,NA,894030,894030,NA,894030,894030,All Track Combined,8.941,1
2016,100663,University of Alabama at Birmingham,Birmingham,AL,35294,1,NCAA Division I-FBS,NA,3668,5273,8941,1,"Public, 4-year or above",8,7,6,NA,NA,7,6,394967,365425,760392,394722,365425,760147,Golf,8.941,1
2016,100663,University of Alabama at Birmingham,Birmingham,AL,35294,1,NCAA Division I-FBS,NA,3668,5273,8941,1,"Public, 4-year or above",12,NA,NA,4,9,4,9,NA,NA,NA,NA,NA,NA,Rifle,8.941,1
2016,100663,University of Alabama at Birmingham,Birmingham,AL,35294,1,NCAA Division I-FBS,NA,3668,5273,8941,1,"Public, 4-year or above",15,30,26,NA,NA,30,26,1069662,949951,2019613,1069662,949951,2019613,Soccer,8.941,1
2016,100663,University of Alabama at Birmingham,Birmingham,AL,35294,1,NCAA Division I-FBS,NA,3668,5273,8941,1,"Public, 4-year or above",16,NA,29,NA,NA,0,29,NA,1040637,1040637,NA,1032163,1032163,Softball,8.941,1
2016,100663,University of Alabama at Birmingham,Birmingham,AL,35294,1,NCAA Division I-FBS,NA,3668,5273,8941,1,"Public, 4-year or above",22,9,8,NA,NA,9,8,349488,460155,809643,349488,460155,809643,Tennis,8.941,1
2016,100663,University of Alabama at Birmingham,Birmingham,AL,35294,1,NCAA Division I-FBS,NA,3668,5273,8941,1,"Public, 4-year or above",26,NA,17,NA,NA,0,17,NA,870560,870560,NA,865332,865332,Volleyball,8.941,1
2016,100663,University of Alabama at Birmingham,Birmingham,AL,35294,1,NCAA Division I-FBS,NA,3668,5273,8941,1,"Public, 4-year or above",32,NA,10,NA,NA,0,10,NA,273800,273800,NA,273800,273800,Beach Volleyball,8.941,1
2016,100663,University of Alabama at Birmingham,Birmingham,AL,35294,1,NCAA Division I-FBS,NA,3668,5273,8941,1,"Public, 4-year or above",33,NA,9,NA,NA,0,9,NA,272419,272419,NA,272327,272327,Bowling,8.941,1
2016,100751,The University of Alabama,Tuscaloosa,AL,35487,1,NCAA Division I-FBS,NA,13038,16033,29071,1,"Public, 4-year or above",1,36,NA,NA,NA,36,0,1182296,NA,1182296,4076580,NA,4076580,Baseball,29.071,2
2016,100751,The University of Alabama,Tuscaloosa,AL,35487,1,NCAA Division I-FBS,NA,13038,16033,29071,1,"Public, 4-year or above",2,15,28,NA,NA,15,28,15003656,1013741,16017397,9681264,4042959,13724223,Basketball,29.071,2
2016,100751,The University of Alabama,Tuscaloosa,AL,35487,1,NCAA Division I-FBS,NA,13038,16033,29071,1,"Public, 4-year or above",3,118,149,NA,NA,118,149,174361,1100337,1274698,2369446,2591272,4960718,All Track Combined,29.071,2
2016,100751,The University of Alabama,Tuscaloosa,AL,35487,1,NCAA Division I-FBS,NA,13038,16033,29071,1,"Public, 4-year or above",7,135,NA,NA,NA,135,0,108117057,NA,108117057,62252389,NA,62252389,Football,29.071,2
2016,100751,The University of Alabama,Tuscaloosa,AL,35487,1,NCAA Division I-FBS,NA,13038,16033,29071,1,"Public, 4-year or above",8,11,9,NA,NA,11,9,573108,418942,992050,1216373,1013637,2230010,Golf,29.071,2
2016,100751,The University of Alabama,Tuscaloosa,AL,35487,1,NCAA Division I-FBS,NA,13038,16033,29071,1,"Public, 4-year or above",9,NA,20,NA,NA,0,20,NA,1100715,1100715,NA,2630978,2630978,Gymnastics,29.071,2
2016,100751,The University of Alabama,Tuscaloosa,AL,35487,1,NCAA Division I-FBS,NA,13038,16033,29071,1,"Public, 4-year or above",13,NA,109,NA,NA,0,109,NA,1037128,1037128,NA,2087057,2087057,Rowing,29.071,2
2016,100751,The University of Alabama,Tuscaloosa,AL,35487,1,NCAA Division I-FBS,NA,13038,16033,29071,1,"Public, 4-year or above",15,NA,28,NA,NA,0,28,NA,808735,808735,NA,1932574,1932574,Soccer,29.071,2
2016,100751,The University of Alabama,Tuscaloosa,AL,35487,1,NCAA Division I-FBS,NA,13038,16033,29071,1,"Public, 4-year or above",16,NA,19,NA,NA,0,19,NA,1170919,1170919,NA,2289688,2289688,Softball,29.071,2
2016,100751,The University of Alabama,Tuscaloosa,AL,35487,1,NCAA Division I-FBS,NA,13038,16033,29071,1,"Public, 4-year or above",18,37,34,NA,NA,37,34,98574,760383,858957,1541057,1541667,3082724,Swimming and Diving,29.071,2
2016,100751,The University of Alabama,Tuscaloosa,AL,35487,1,NCAA Division I-FBS,NA,13038,16033,29071,1,"Public, 4-year or above",22,10,8,NA,NA,10,8,85260,484363,569623,871127,973441,1844568,Tennis,29.071,2
2016,100751,The University of Alabama,Tuscaloosa,AL,35487,1,NCAA Division I-FBS,NA,13038,16033,29071,1,"Public, 4-year or above",26,NA,19,NA,NA,0,19,NA,685786,685786,NA,1932502,1932502,Volleyball,29.071,2
2016,100858,Auburn University,Auburn,AL,36849,1,NCAA Division I-FBS,NA,10026,10234,20260,1,"Public, 4-year or above",1,33,NA,NA,NA,33,0,884192,NA,884192,4039077,NA,4039077,Baseball,20.26,3
2016,100858,Auburn University,Auburn,AL,36849,1,NCAA Division I-FBS,NA,10026,10234,20260,1,"Public, 4-year or above",2,21,26,NA,NA,21,26,9900612,280354,10180966,9632816,4354732,13987548,Basketball,20.26,3
2016,100858,Auburn University,Auburn,AL,36849,1,NCAA Division I-FBS,NA,10026,10234,20260,1,"Public, 4-year or above",3,76,78,NA,NA,76,78,67783,157442,225225,1790939,1923659,3714598,All Track Combined,20.26,3
2016,100858,Auburn University,Auburn,AL,36849,1,NCAA Division I-FBS,NA,10026,10234,20260,1,"Public, 4-year or above",7,120,NA,NA,NA,120,0,91652926,NA,91652926,42825220,NA,42825220,Football,20.26,3
2016,100858,Auburn University,Auburn,AL,36849,1,NCAA Division I-FBS,NA,10026,10234,20260,1,"Public, 4-year or above",8,11,9,NA,NA,11,9,90005,63901,153906,1255736,1163088,2418824,Golf,20.26,3
2016,100858,Auburn University,Auburn,AL,36849,1,NCAA Division I-FBS,NA,10026,10234,20260,1,"Public, 4-year or above",9,NA,17,NA,NA,0,17,NA,249420,249420,NA,2386684,2386684,Gymnastics,20.26,3
2016,100858,Auburn University,Auburn,AL,36849,1,NCAA Division I-FBS,NA,10026,10234,20260,1,"Public, 4-year or above",15,NA,32,NA,NA,0,32,NA,214176,214176,NA,2656256,2656256,Soccer,20.26,3
2016,100858,Auburn University,Auburn,AL,36849,1,NCAA Division I-FBS,NA,10026,10234,20260,1,"Public, 4-year or above",16,NA,29,NA,NA,0,29,NA,447450,447450,NA,2483257,2483257,Softball,20.26,3
2016,100858,Auburn University,Auburn,AL,36849,1,NCAA Division I-FBS,NA,10026,10234,20260,1,"Public, 4-year or above",18,34,31,NA,NA,34,31,93348,109542,202890,1934909,1786319,3721228,Swimming and Diving,20.26,3
2016,100858,Auburn University,Auburn,AL,36849,1,NCAA Division I-FBS,NA,10026,10234,20260,1,"Public, 4-year or above",22,11,10,NA,NA,11,10,63944,99068,163012,1200473,1363197,2563670,Tennis,20.26,3
2016,100858,Auburn University,Auburn,AL,36849,1,NCAA Division I-FBS,NA,10026,10234,20260,1,"Public, 4-year or above",26,NA,17,NA,NA,0,17,NA,119703,119703,NA,1863689,1863689,Volleyball,20.26,3
2016,100858,Auburn University,Auburn,AL,36849,1,NCAA Division I-FBS,NA,10026,10234,20260,1,"Public, 4-year or above",34,NA,36,NA,NA,0,36,NA,273495,273495,NA,1879657,1879657,Equestrian,20.26,3
2016,102094,University of South Alabama,Mobile,AL,36688,1,NCAA Division I-FBS,NA,4446,5150,9596,1,"Public, 4-year or above",1,35,NA,NA,NA,35,0,1477257,NA,1477257,1422609,NA,1422609,Baseball,9.596,4
2016,102094,University of South Alabama,Mobile,AL,36688,1,NCAA Division I-FBS,NA,4446,5150,9596,1,"Public, 4-year or above",2,17,14,NA,NA,17,14,2054100,1292557,3346657,1818722,1322244,3140966,Basketball,9.596,4
2016,102094,University of South Alabama,Mobile,AL,36688,1,NCAA Division I-FBS,NA,4446,5150,9596,1,"Public, 4-year or above",7,126,NA,NA,NA,126,0,9022485,NA,9022485,9312511,NA,9312511,Football,9.596,4
2016,102094,University of South Alabama,Mobile,AL,36688,1,NCAA Division I-FBS,NA,4446,5150,9596,1,"Public, 4-year or above",8,11,5,NA,NA,11,5,316665,271495,588160,316665,271495,588160,Golf,9.596,4
2016,102094,University of South Alabama,Mobile,AL,36688,1,NCAA Division I-FBS,NA,4446,5150,9596,1,"Public, 4-year or above",15,NA,26,NA,NA,0,26,NA,855595,855595,NA,855595,855595,Soccer,9.596,4
2016,102094,University of South Alabama,Mobile,AL,36688,1,NCAA Division I-FBS,NA,4446,5150,9596,1,"Public, 4-year or above",16,NA,24,NA,NA,0,24,NA,937591,937591,NA,911704,911704,Softball,9.596,4
2016,102094,University of South Alabama,Mobile,AL,36688,1,NCAA Division I-FBS,NA,4446,5150,9596,1,"Public, 4-year or above",22,10,10,NA,NA,10,10,329684,397676,727360,329684,397676,727360,Tennis,9.596,4
2016,102094,University of South Alabama,Mobile,AL,36688,1,NCAA Division I-FBS,NA,4446,5150,9596,1,"Public, 4-year or above",23,44,37,NA,NA,44,37,273032,260621,533653,273032,260621,533653,"Track and Field, Indoor",9.596,4
2016,102094,University of South Alabama,Mobile,AL,36688,1,NCAA Division I-FBS,NA,4446,5150,9596,1,"Public, 4-year or above",24,45,42,NA,NA,45,42,273032,260621,533653,273032,260621,533653,"Track and Field, Outdoor",9.596,4
2016,102094,University of South Alabama,Mobile,AL,36688,1,NCAA Division I-FBS,NA,4446,5150,9596,1,"Public, 4-year or above",25,11,10,NA,NA,11,10,68258,62053,130311,68258,62053,130311,"Track and Field, X-Country",9.596,4
2016,102094,University of South Alabama,Mobile,AL,36688,1,NCAA Division I-FBS,NA,4446,5150,9596,1,"Public, 4-year or above",26,NA,18,NA,NA,0,18,NA,795976,795976,NA,792176,792176,Volleyball,9.596,4
2016,102368,Troy University,Troy,AL,36082,1,NCAA Division I-FBS,NA,3711,5618,9329,1,"Public, 4-year or above",1,35,NA,NA,NA,35,0,845414,NA,845414,810933,NA,810933,Baseball,9.329,5
2016,102368,Troy University,Troy,AL,36082,1,NCAA Division I-FBS,NA,3711,5618,9329,1,"Public, 4-year or above",2,15,16,NA,NA,15,16,2569292,2165077,4734369,2628993,2301390,4930383,Basketball,9.329,5
2016,102368,Troy University,Troy,AL,36082,1,NCAA Division I-FBS,NA,3711,5618,9329,1,"Public, 4-year or above",3,64,97,NA,NA,64,97,490646,736868,1227514,486947,728631,1215578,All Track Combined,9.329,5
2016,102368,Troy University,Troy,AL,36082,1,NCAA Division I-FBS,NA,3711,5618,9329,1,"Public, 4-year or above",7,131,NA,NA,NA,131,0,8764479,NA,8764479,8442152,NA,8442152,Football,9.329,5
2016,102368,Troy University,Troy,AL,36082,1,NCAA Division I-FBS,NA,3711,5618,9329,1,"Public, 4-year or above",8,9,8,NA,NA,9,8,296389,313299,609688,261321,268893,530214,Golf,9.329,5
2016,102368,Troy University,Troy,AL,36082,1,NCAA Division I-FBS,NA,3711,5618,9329,1,"Public, 4-year or above",15,NA,33,NA,NA,0,33,NA,611507,611507,NA,590943,590943,Soccer,9.329,5
2016,102368,Troy University,Troy,AL,36082,1,NCAA Division I-FBS,NA,3711,5618,9329,1,"Public, 4-year or above",16,NA,20,NA,NA,0,20,NA,769820,769820,NA,672860,672860,Softball,9.329,5
2016,102368,Troy University,Troy,AL,36082,1,NCAA Division I-FBS,NA,3711,5618,9329,1,"Public, 4-year or above",22,13,7,NA,NA,13,7,363169,322561,685730,350933,317304,668237,Tennis,9.329,5
2016,102368,Troy University,Troy,AL,36082,1,NCAA Division I-FBS,NA,3711,5618,9329,1,"Public, 4-year or above",26,NA,17,NA,NA,0,17,NA,653988,653988,NA,655871,655871,Volleyball,9.329,5
2016,104151,Arizona State University-Tempe,Tempe,AZ,85287,1,NCAA Division I-FBS,NA,22020,16741,38761,1,"Public, 4-year or above",1,34,NA,NA,NA,34,0,1308098,NA,1308098,3313036,NA,3313036,Baseball,38.761,6
2016,104151,Arizona State University-Tempe,Tempe,AZ,85287,1,NCAA Division I-FBS,NA,22020,16741,38761,1,"Public, 4-year or above",2,16,45,NA,NA,16,45,7693224,797215,8490439,6581872,3724553,10306425,Basketball,38.761,6
2016,104151,Arizona State University-Tempe,Tempe,AZ,85287,1,NCAA Division I-FBS,NA,22020,16741,38761,1,"Public, 4-year or above",3,95,104,NA,NA,95,104,322213,247565,569778,1481398,1715015,3196413,All Track Combined,38.761,6
2016,104151,Arizona State University-Tempe,Tempe,AZ,85287,1,NCAA Division I-FBS,NA,22020,16741,38761,1,"Public, 4-year or above",7,121,NA,NA,NA,121,0,43012682,NA,43012682,31371363,NA,31371363,Football,38.761,6
2016,104151,Arizona State University-Tempe,Tempe,AZ,85287,1,NCAA Division I-FBS,NA,22020,16741,38761,1,"Public, 4-year or above",8,10,8,NA,NA,10,8,265206,278490,543696,1080355,800433,1880788,Golf,38.761,6
2016,104151,Arizona State University-Tempe,Tempe,AZ,85287,1,NCAA Division I-FBS,NA,22020,16741,38761,1,"Public, 4-year or above",9,NA,17,NA,NA,0,17,NA,144599,144599,NA,1208275,1208275,Gymnastics,38.761,6
