year,city,spend_per_resident_data,pct_near_park_points
2020,Minneapolis,319,98
2020,"Washington, D.C.",307,98
2020,St. Paul,219,99
2020,"Arlington, Virginia",301,99
2020,Cincinnati,190,74
2020,Portland,250,85
2020,Irvine,215,73
2020,San Francisco,399,100
2020,Boston,162,100
2020,Chicago,179,98
2020,New York,232,99
2020,Madison,134,93
2020,St. Louis,199,97
2020,Seattle,320,95
2020,Pittsburgh,142,88
2020,Philadelphia,138,93
2020,Plano,226,63
2020,San Diego,153,71
2020,St. Petersburg,148,63
2020,New Orleans,165,70
2020,Boise,172,53
2020,Denver,130,86
2020,Long Beach,180,76
2020,Aurora,149,82
2020,Lincoln,108,88
2020,Virginia Beach,185,51
2020,Henderson,141,38
2020,Milwaukee,112,86
2020,Cleveland,137,75
2020,Sacramento,122,75
2020,Raleigh,157,36
2020,Kansas City,132,54
2020,Fremont,114,54
2020,Des Moines,94,55
2020,Albuquerque,62,81
2020,San Jose,108,74
2020,Austin,147,39
2020,Omaha,79,72
2020,Anchorage,93,62
2020,Atlanta,151,58
2020,Honolulu,77,69
2020,Las Vegas,84,62
2020,Buffalo,86,85
2020,Scottsdale,109,9
2020,Anaheim,115,50
2020,Chesapeake,100,13
2020,Jersey City,32,91
2020,Norfolk,84,63
2020,Columbus,94,51
2020,Los Angeles,132,42
2020,Oakland,65,83
2020,Orlando,119,45
2020,Colorado Springs,80,61
2020,Dallas,108,56
2020,Tulsa,93,39
2020,Tampa,48,43
2020,Phoenix,89,22
2020,Baltimore,73,81
2020,"Arlington, Texas",102,36
2020,North Las Vegas,52,45
2020,Riverside,78,26
2020,Lexington,79,29
2020,Bakersfield,86,18
2020,Miami,48,81
2020,Chandler,76,43
2020,El Paso,56,38
2020,Greensboro,67,44
2020,Reno,52,63
2020,Newark,53,91
2020,Chula Vista,43,50
2020,Nashville,83,13
2020,Durham,76,26
2020,Detroit,80,70
2020,Glendale,43,62
2020,San Antonio,89,13
2020,Corpus Christi,58,63
2020,Toledo,40,72
2020,Houston,82,40
2020,Jacksonville,66,1
2020,Wichita,67,29
2020,Louisville,69,6
2020,Winston-Salem,81,4
2020,Garland,57,43
2020,Tucson,53,44
2020,Santa Ana,53,63
2020,Laredo,59,31
2020,Stockton,15,60
2020,Memphis,76,17
2020,Irving,72,45
2020,Hialeah,33,52
2020,Baton Rouge,44,30
2020,Fresno,42,51
2020,Lubbock,35,33
2020,Fort Worth,56,40
2020,Charlotte/Mecklenburg County,56,3
2020,Mesa,65,48
2020,Oklahoma City,57,5
2019,"Washington, D.C.",270,97.5
2019,St. Paul,220,97.5
2019,Minneapolis,299,95
2019,"Arlington, Virginia",267,97.5
2019,Portland,224,85
2019,Irvine,252,72.5
2019,San Francisco,318,100
2019,Cincinnati,193,67.5
2019,New York,198,100
2019,Chicago,171,97.5
2019,Seattle,279,95
2019,Madison,130,92.5
2019,Boston,131,100
2019,St. Louis,261,95
2019,Plano,211,65
2019,San Diego,154,70
2019,St. Petersburg,140,65
2019,Long Beach,205,77.5
2019,Philadelphia,123,95
2019,New Orleans,177,72.5
2019,Boise,162,55
2019,Pittsburgh,117,87.5
2019,Aurora,145,82.5
2019,Milwaukee,124,87.5
2019,Lincoln,101,87.5
2019,Henderson,136,30
2019,Sacramento,125,75
2019,Raleigh,194,37.5
2019,Denver,115,87.5
2019,Virginia Beach,188,47.5
2019,Fremont,112,55
2019,Kansas City,127,55
2019,San Jose,124,70
2019,Albuquerque,65,82.5
2019,Cleveland,111,75
2019,Omaha,81,72.5
2019,Las Vegas,99,62.5
2019,Anchorage,99,65
2019,Des Moines,76,55
2019,Oakland,103,82.5
2019,Scottsdale,111,12.5
2019,Atlanta,138,57.5
2019,Austin,119,40
2019,Norfolk,78,65
2019,Tampa,71,45
2019,Chesapeake,91,15
2019,Orlando,121,47.5
2019,Buffalo,66,85
2019,Honolulu,63,55
2019,Colorado Springs,86,62.5
2019,Jersey City,27,90
2019,Columbus,101,40
2019,Dallas,110,55
2019,Miami,77,80
2019,Los Angeles,119,45
2019,Phoenix,87,27.5
2019,Anaheim,99,52.5
2019,North Las Vegas,53,47.5
2019,Nashville,98,15
2019,Tulsa,75,40
2019,Riverside,76,30
2019,Reno,51,65
2019,Bakersfield,81,22.5
2019,Lexington,81,32.5
2019,Greensboro,66,47.5
2019,Baltimore,69,82.5
2019,Corpus Christi,67,65
2019,"Arlington, Texas",92,37.5
2019,Chandler,77,45
2019,Glendale,36,65
2019,El Paso,43,37.5
2019,Durham,66,30
2019,San Antonio,90,15
2019,Chula Vista,43,52.5
2019,Newark,48,90
2019,Toledo,41,72.5
2019,Wichita,57,32.5
2019,Jacksonville,57,5
2019,Tucson,57,47.5
2019,Garland,62,45
