taxon,dlc_id,hybrid,sex,name,current_resident,stud_book,dob,birth_month,estimated_dob,birth_type,birth_institution,litter_size,expected_gestation,estimated_concep,concep_month,dam_id,dam_name,dam_taxon,dam_dob,dam_age_at_concep_y,sire_id,sire_name,sire_taxon,sire_dob,sire_age_at_concep_y,dod,age_at_death_y,age_of_living_y,age_last_verified_y,age_max_live_or_dead_y,n_known_offspring,dob_estimated,weight_g,weight_date,month_of_weight,age_at_wt_d,age_at_wt_wk,age_at_wt_mo,age_at_wt_mo_no_dec,age_at_wt_y,change_since_prev_wt_g,days_since_prev_wt,avg_daily_wt_change_g,days_before_death,r_min_dam_age_at_concep_y,age_category,preg_status,expected_gestation_d,concep_date_if_preg,infant_dob_if_preg,days_before_inf_birth_if_preg,pct_preg_remain_if_preg,infant_lit_sz_if_preg
PCOQ,1591,N,F,AMBER,N,118,1974-12-18,12,NA,CB,Duke Lemur Center,1,160,1974-07-11,7,590,CHARLOTTE,PCOQ,1960-07-01,14.04,591,REGINALD,PCOQ,1965-07-01,9.03,1976-11-05,1.88,NA,NA,1.88,NA,NA,172,1975-01-02,1,15,2.14,0.49,0,0.04,65,14,4.64,673,2.64,IJ,NP,NA,NA,NA,NA,NA,NA
PCOQ,1592,N,M,LARKE,N,119,1976-01-26,1,NA,CB,Duke Lemur Center,1,160,1975-08-19,8,593,EDITH,PCOQ,1966-07-01,9.14,597,NIGEL,PCOQ,1972-02-10,3.52,1976-11-15,0.81,NA,NA,0.81,NA,NA,1235,1976-08-11,8,198,28.29,6.51,6,0.54,1050,166,6.33,96,2.64,IJ,NP,NA,NA,NA,NA,NA,NA
PCOQ,1593,N,F,ERME,N,122,1977-02-06,2,NA,CB,Duke Lemur Center,1,160,1976-08-30,8,593,EDITH,PCOQ,1966-07-01,10.17,597,NIGEL,PCOQ,1972-02-10,4.56,1977-07-21,0.45,NA,NA,0.45,NA,NA,638,1977-07-14,7,158,22.57,5.19,5,0.43,71,14,5.07,7,2.64,IJ,NP,NA,NA,NA,NA,NA,NA
PCOQ,5701,N,F,JULIA,N,120,1977-07-01,7,Y,WB,Madagascar /,NA,160,1977-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1985-12-30,8.5,NA,NA,8.5,2,Y,4075,1982-09-14,9,1901,271.57,62.5,62,5.21,465,124,3.75,1203,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5702,N,M,JULIUS CAESAR,N,113,1972-07-01,7,Y,WB,Madagascar /,NA,160,1972-01-23,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1982-07-08,10.02,NA,NA,10.02,NA,Y,4200,1982-05-07,5,3597,513.86,118.26,118,9.85,NA,NA,NA,62,2.64,adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5703,N,F,CORNELIA,N,121,1977-07-01,7,Y,WB,Madagascar /,NA,160,1977-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1995-05-29,17.92,NA,NA,17.92,9,Y,4270,1994-08-17,8,6256,893.71,205.68,205,17.14,140,37,3.78,285,2.64,adult,P,160,1994-07-09,1994-12-16,121,0.75625,1
PCOQ,5704,N,M,AUGUSTUS II,N,123,1978-07-01,7,Y,WB,Madagascar /,NA,160,1978-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-15,7.63,NA,NA,7.63,2,Y,2778,1985-09-11,9,2629,375.57,86.43,86,7.2,-37,6,-6.17,157,2.64,adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5705,N,F,LIVIA,N,124,1979-07-01,7,Y,WB,Madagascar /,NA,160,1979-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-12,6.62,NA,NA,6.62,NA,Y,3681,1983-02-11,2,1321,188.71,43.43,43,3.62,-201,73,-2.75,1097,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,590,N,F,CHARLOTTE,N,100,1960-07-01,7,Y,WB,Madagascar /,NA,160,1960-01-23,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1977-09-24,17.24,NA,NA,17.24,6,Y,3314,1977-07-06,7,6214,887.71,204.3,204,17.02,-23,12,-1.92,80,2.64,adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5944,N,M,TRAJAN,N,125,1980-07-01,7,Y,WB,Madagascar /,NA,160,1980-01-23,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,2008-12-31,28.52,NA,NA,28.52,18,Y,3660,2004-09-27,9,8854,1264.86,291.09,291,24.26,120,45,2.67,1556,2.64,adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5945,N,M,HADRIAN,N,126,1982-07-01,7,Y,WB,Madagascar /,NA,160,1982-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1994-04-09,11.78,NA,NA,11.78,6,Y,3472,1986-12-04,12,1617,231,53.16,53,4.43,-64,22,-2.91,2683,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5956,N,M,JULIA-A,N,132,1985-01-19,1,NA,CB,Duke Lemur Center,1,160,1984-08-12,8,5701,JULIA,PCOQ,1977-07-01,7.12,5704,AUGUSTUS II,PCOQ,1978-07-01,6.12,1985-01-19,0,NA,NA,0,NA,NA,100,1985-01-19,1,0,0,0,0,0,NA,NA,NA,0,2.64,IJ,NP,NA,NA,NA,NA,NA,NA
PCOQ,597,N,M,NIGEL,N,114,1972-02-10,2,NA,CB,Duke Lemur Center,1,160,1971-09-03,9,590,CHARLOTTE,PCOQ,1960-07-01,11.18,591,REGINALD,PCOQ,1965-07-01,6.18,2002-09-05,30.59,NA,NA,30.59,14,NA,3840,2001-05-30,5,10702,1528.86,351.85,351,29.32,560,278,2.01,463,2.64,adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,599,N,F,MANGO,N,116,1974-02-21,2,NA,CB,Duke Lemur Center,1,160,1973-09-14,9,593,EDITH,PCOQ,1966-07-01,7.21,592,SACHEVERELL,PCOQ,1966-07-01,7.21,1975-10-29,1.68,NA,NA,1.68,NA,NA,925,1974-07-12,7,141,20.14,4.64,4,0.39,772,129,5.98,474,2.64,IJ,NP,NA,NA,NA,NA,NA,NA
PCOQ,6045,N,M,CORNELIA-A,N,133,1985-12-18,12,NA,CB,Duke Lemur Center,1,160,1985-07-11,7,5703,CORNELIA,PCOQ,1977-07-01,8.03,5944,TRAJAN,PCOQ,1980-07-01,5.03,1985-12-18,0,NA,NA,0,NA,NA,104.2,1985-12-18,12,0,0,0,0,0,NA,NA,NA,0,2.64,IJ,NP,NA,NA,NA,NA,NA,NA
PCOQ,6107,N,M,VESPASIAN,N,130,1984-07-01,7,Y,WB,Madagascar /,NA,160,1984-01-23,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1993-04-22,8.81,NA,NA,8.81,NA,Y,4790,1992-05-06,5,2866,409.43,94.22,94,7.85,-32,36,-0.89,351,2.64,adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6108,N,F,FLAVIA,N,127,1982-07-01,7,Y,WB,Madagascar /,NA,160,1982-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,2004-03-05,21.69,NA,NA,21.69,12,Y,2350,2004-02-19,2,7903,1129,259.82,259,21.65,-30,10,-3,15,2.64,adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6109,N,F,OCTAVIA,N,128,1982-07-01,7,Y,WB,Madagascar /,NA,160,1982-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1994-01-11,11.54,NA,NA,11.54,7,Y,3260,1993-12-16,12,4186,598,137.62,137,11.47,-530,29,-18.28,26,2.64,adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6110,N,F,MARCELLA,N,131,1984-07-01,7,Y,WB,Madagascar /,NA,160,1984-01-23,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,2000-04-17,15.81,NA,NA,15.81,8,Y,4550,1997-09-18,9,4827,689.57,158.7,158,13.22,-70,79,-0.89,942,2.64,adult,P,160,1997-08-24,1998-01-31,135,0.84375,1
PCOQ,6133,N,M,CLAUDIUS,N,137,1986-12-05,12,NA,CB,Duke Lemur Center,1,160,1986-06-28,6,5703,CORNELIA,PCOQ,1977-07-01,9,5944,TRAJAN,PCOQ,1980-07-01,5.99,1987-03-28,0.31,NA,NA,0.31,NA,NA,312,1987-03-13,3,98,14,3.22,3,0.27,NA,NA,NA,15,2.64,IJ,NP,NA,NA,NA,NA,NA,NA
PCOQ,6200,N,F,AURELIA,N,138,1987-12-08,12,NA,CB,Duke Lemur Center,1,160,1987-07-01,7,5703,CORNELIA,PCOQ,1977-07-01,10.01,5944,TRAJAN,PCOQ,1980-07-01,7,1991-07-12,3.59,NA,NA,3.59,NA,NA,1571,1988-07-28,7,233,33.29,7.66,7,0.64,NA,NA,NA,1079,2.64,IJ,NP,NA,NA,NA,NA,NA,NA
PCOQ,6207,N,M,Tiberius,N,140,1988-01-20,1,NA,CB,Duke Lemur Center,1,160,1987-08-13,8,6109,OCTAVIA,PCOQ,1982-07-01,5.12,5945,HADRIAN,PCOQ,1982-07-01,5.12,2016-04-01,28.22,NA,NA,28.22,18,NA,1843,1988-09-07,9,231,33,7.59,7,0.63,186,19,9.79,10068,2.64,IJ,NP,NA,NA,NA,NA,NA,NA
PCOQ,6273,N,F,LUCIA,N,142,1989-03-15,3,NA,CB,Duke Lemur Center,1,160,1988-10-06,10,6109,OCTAVIA,PCOQ,1982-07-01,6.27,5945,HADRIAN,PCOQ,1982-07-01,6.27,1999-10-03,10.56,NA,NA,10.56,8,NA,3580,1999-10-01,10,3852,550.29,126.64,126,10.55,-200,21,-9.52,2,2.64,adult,NP,NA,NA,NA,NA,NA,NA
