taxon,dlc_id,hybrid,sex,name,current_resident,stud_book,dob,birth_month,estimated_dob,birth_type,birth_institution,litter_size,expected_gestation,estimated_concep,concep_month,dam_id,dam_name,dam_taxon,dam_dob,dam_age_at_concep_y,sire_id,sire_name,sire_taxon,sire_dob,sire_age_at_concep_y,dod,age_at_death_y,age_of_living_y,age_last_verified_y,age_max_live_or_dead_y,n_known_offspring,dob_estimated,weight_g,weight_date,month_of_weight,age_at_wt_d,age_at_wt_wk,age_at_wt_mo,age_at_wt_mo_no_dec,age_at_wt_y,change_since_prev_wt_g,days_since_prev_wt,avg_daily_wt_change_g,days_before_death,r_min_dam_age_at_concep_y,age_category,preg_status,expected_gestation_d,concep_date_if_preg,infant_dob_if_preg,days_before_inf_birth_if_preg,pct_preg_remain_if_preg,infant_lit_sz_if_preg
PCOQ,6692,N,F,ALEXIANUS,N,172,1996-12-17,12,NA,CB,Duke Lemur Center,1,160,1996-07-10,7,6110,MARCELLA,PCOQ,1984-07-01,12.03,5944,TRAJAN,PCOQ,1980-07-01,16.04,2005-05-26,8.44,NA,NA,8.44,3,NA,3400,1999-08-16,8,972,138.86,31.96,31,2.66,20,14,1.43,2110,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5704,N,M,AUGUSTUS II,N,123,1978-07-01,7,Y,WB,Madagascar /,NA,160,1978-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-15,7.63,NA,NA,7.63,2,Y,4143,1982-05-07,5,1406,200.86,46.22,46,3.85,NA,NA,NA,1380,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6200,N,F,AURELIA,N,138,1987-12-08,12,NA,CB,Duke Lemur Center,1,160,1987-07-01,7,5703,CORNELIA,PCOQ,1977-07-01,10.01,5944,TRAJAN,PCOQ,1980-07-01,7,1991-07-12,3.59,NA,NA,3.59,NA,NA,3581,1991-07-12,7,1312,187.43,43.13,43,3.59,-363,367,-0.99,0,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,7174,N,F,Aemilia,Y,282,2014-02-02,2,NA,CB,Duke Lemur Center,1,160,2013-08-26,8,6538,Drusilla,PCOQ,1993-04-06,20.4,6518,Julian,PCOQ,1993-03-04,20.49,NA,NA,5.01,NA,5.01,NA,NA,3620,2016-11-01,11,1003,143.29,32.98,32,2.75,20,43,0.47,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6885,N,F,Agrippina,N,226,2007-02-07,2,NA,CB,Duke Lemur Center,1,160,2006-08-31,8,6538,Drusilla,PCOQ,1993-04-06,13.41,6518,Julian,PCOQ,1993-03-04,13.5,NA,NA,12.01,NA,12.01,4,NA,3720,2009-10-21,10,987,141,32.45,32,2.7,-65,37,-1.76,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6828,N,F,Anastasia,N,209,2004-02-18,2,NA,CB,Duke Lemur Center,1,160,2003-09-11,9,6723,LIVIA II,PCOQ,1998-01-31,5.61,6650,Gordian,PCOQ,1995-12-17,7.74,NA,NA,14.98,NA,14.98,7,NA,3540,2007-01-29,1,1076,153.71,35.38,35,2.95,240,131,1.83,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6727,N,F,Antonia,N,178,1998-02-22,2,NA,CB,Duke Lemur Center,1,160,1997-09-15,9,6398,PAULINA,PCOQ,1991-01-24,6.65,6450,VALENTINIAN,PCOQ,1991-11-02,5.87,2017-05-23,19.26,NA,NA,19.26,4,NA,4440,2001-04-02,4,1135,162.14,37.32,37,3.11,140,180,0.78,5895,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6983,N,F,Arcadia,N,250,2011-01-16,1,NA,CB,Duke Lemur Center,1,160,2010-08-09,8,6538,Drusilla,PCOQ,1993-04-06,17.35,6518,Julian,PCOQ,1993-03-04,17.44,NA,NA,8.06,NA,8.06,1,NA,4440,2013-10-02,10,990,141.43,32.55,32,2.71,380,61,6.23,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6774,N,M,BRUTUS,N,191,2001-02-28,2,NA,CB,Duke Lemur Center,1,160,2000-09-21,9,6398,PAULINA,PCOQ,1991-01-24,9.67,5944,TRAJAN,PCOQ,1980-07-01,20.24,2011-06-02,10.26,NA,NA,10.26,NA,NA,3770,2003-10-22,10,966,138,31.76,31,2.65,10,61,0.16,2780,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,7131,N,F,Beatrice of Swabia,Y,266,2012-12-19,12,NA,CB,Duke Lemur Center,1,160,2012-07-12,7,6897,Rodelinda,PCOQ,2007-08-06,4.94,6827,Marcus Aurelius,PCOQ,2004-02-16,8.41,NA,NA,6.14,NA,6.14,NA,NA,3920,2015-08-16,8,970,138.57,31.89,31,2.66,-80,61,-1.31,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
