QKEY,INTERVIEW_START_W132,INTERVIEW_END_W132,DEVICE_TYPE_W132,LANG_W132,FORM_W132,XDENOM_W132,IMPWOMPRES_W132,LIKELYWOMPRES_W132,ALTID_a_W132,ALTID_b_W132,ALTID_c_W132,ALTID_d_W132,ALTID_e_W132,NONRELIGIOUS_W132,SPIRIMP_W132,SPIRESSENT1_a_W132,SPIRESSENT1_b_W132,SPIRESSENT1_c_W132,SPIRESSENT1_d_W132,SPIRESSENT1_e_W132,SPIRESSENT1_f_W132,SPIRESSENT1_g_W132,SPIRESSENT1_h_W132,SPIRESSENT1_i_W132,SPIRESSENT1_j_W132,SPIRACT1_a_W132,SPIRACT1_b_W132,SPIRACT1_c_W132,SPIRACT1_d_W132,SPIRACT1_e_W132,SPIRACT2_a_W132,SPIRACT2_b_W132,SPIRACT2_c_W132,SPIRACT2_d_W132,SPIRACT2_e_W132,RTWRNG_a_W132,RTWRNG_b_W132,RTWRNG_c_W132,RTWRNG_d_W132,RTWRNG_e_W132,RTWRNG_f_W132,RTWRNG_g_W132,GOD_W132,GODBIBLE_W132,HGHPWR_W132,MISSINGGOD_W132,SPIREXIST_W132,SPIRTYPE_W132,SPIRENC_W132,BEYONDEXP_W132,SOUL_W132,BELIEVE_a_W132,BELIEVE_b_W132,DTHLKE_a_W132,DTHLKE_b_W132,DTHLKE_c_W132,DTHLKE_d_W132,DTHLKE_e_W132,DTHLKE_f_W132,SPIRSPEAK_W132,SPIREXP_a_W132,SPIREXP_b_W132,SPIREXP_c_W132,SPIREXP_d_W132,SPIRENERGY_a_W132,SPIRENERGY_b_W132,SPIRENERGY_c_W132,SPIRENERGY_d_W132,SPIRTHINGS_a_W132,SPIRTHINGS_b_W132,SPIRTHINGS_c_W132,SPIRTHINGS_d_W132,SPIRTHINGS_e_W132,SPIRCOM1_a_W132,SPIRCOM1_b_W132,SPIRCOM1_c_W132,SPIRCOM2a_W132,SPIRCOM2b_W132,SPIRCOM2c_W132,SECMEMB_W132,SECBEL1_W132,SECBEL2_W132,SPIRWORLD_W132,RELIMPACT_W132,SCIMPACT_W132,CHRELIG_W132,LIFEDIR_W132,LIFESPIR_W132,RELEFFECT_a_W132,RELEFFECT_b_W132,RELEFFECT_c_W132,RELEFFECT_d_W132,WHYNONE_MOD_a_W132,WHYNONE_MOD_b_W132,WHYNONE_MOD_c_W132,WHYNONE_MOD_d_W132,WHYNONE_MOD_e_W132,WHYNONE_MOD_f_W132,AI_HEARD_W132,CNCEXC_W132,AIHLPHRT_a_W132,AIHLPHRT_b_W132,AIHLPHRT_c_W132,AIHLPHRT_d_W132,AIHLPHRT_e_W132,AIHLPHRT_f_W132,AIHLPHRT_g_W132,AIHLPHRT_h_W132,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_CITIZEN,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTEND,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W132
100314,2023-08-05T09:44:04Z,2023-08-05T10:06:29Z,2,1,2,2,5,4,1,2,99,1,2,2,2,2,2,2,2,2,2,2,2,2,2,99,5,6,6,7,NA,1,NA,NA,NA,3,3,3,3,3,3,3,NA,NA,NA,1,1,4,2,1,2,1,1,4,2,4,4,4,4,2,2,4,5,3,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,2,2,1,2,3,3,1,4,4,1,4,1,4,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,3,3,3,3,2,2,3,3,4,1,2,3,2,NA,1,1,1,1,1,3,1,1,1,5,1,NA,1,1,1,4,2,5,1,2,0.40723801050949987
100363,2023-08-03T14:06:12Z,2023-08-03T14:15:31Z,2,1,2,2,4,2,1,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,1,7,5,5,3,5,NA,5,1,2,2,3,1,3,3,3,1,2,NA,NA,NA,1,3,NA,NA,2,1,1,1,2,2,2,3,3,2,2,4,4,5,5,2,2,2,1,2,2,2,2,2,1,2,2,3,NA,NA,2,1,2,2,2,2,2,2,4,1,3,1,3,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,1,2,1,1,1,1,2,2,2,2,1,6,2,NA,1,1,1,1,1,1,2,2,2,4,2,NA,2,3,1,9,3,2,1,3,0.3438166725150576
100598,2023-08-01T16:44:06Z,2023-08-01T16:59:14Z,1,1,2,2,6,2,1,2,2,1,2,2,2,2,1,3,1,2,1,2,2,2,1,7,3,5,3,7,NA,2,1,2,NA,2,2,1,3,1,2,1,NA,NA,NA,1,1,3,1,2,1,1,1,2,2,2,1,5,2,2,3,3,4,3,2,2,1,1,1,2,2,2,1,1,2,1,2,NA,3,2,2,2,2,2,2,1,4,1,2,3,2,2,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,1,3,1,2,1,4,9,2,3,2,1,6,2,NA,1,1,1,1,1,1,1,2,1,5,1,NA,1,1,1,9,2,2,1,3,0.3814965514965955
100637,2023-08-01T20:20:41Z,2023-08-01T20:33:01Z,1,1,2,2,6,2,1,2,2,1,2,2,1,3,3,3,1,3,3,3,3,3,3,7,1,6,3,6,NA,5,NA,5,NA,1,1,3,2,2,3,1,NA,NA,NA,1,1,3,2,1,1,1,1,2,4,4,4,4,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,NA,NA,2,2,2,2,2,2,1,1,1,1,4,1,3,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,3,2,1,3,1,3,5,3,4,2,2,4,2,NA,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,5,2,3,2,2,0.7967707995931496
100803,2023-08-03T16:31:16Z,2023-08-03T16:39:43Z,1,1,1,2,4,2,1,2,2,1,2,2,1,1,1,3,1,1,1,1,3,1,1,3,3,5,3,7,1,5,4,2,NA,1,1,4,2,3,1,3,1,1,NA,NA,1,3,1,2,1,1,1,4,4,4,4,4,4,2,1,1,4,1,2,2,2,2,2,2,2,2,1,1,2,2,1,NA,NA,2,2,1,2,2,3,1,1,1,1,4,1,2,NA,NA,NA,NA,NA,NA,2,2,2,2,1,1,NA,NA,NA,NA,2,2,4,3,4,1,1,5,2,NA,1,1,1,1,1,1,1,1,1,2,1,NA,1,1,1,9,2,4,1,3,0.17578610990333776
101224,2023-08-01T17:44:01Z,2023-08-01T17:55:11Z,2,1,1,2,5,3,1,2,2,1,2,2,2,2,2,2,2,2,3,3,3,3,2,7,1,6,3,7,NA,2,NA,2,NA,1,2,3,2,2,2,2,1,1,NA,NA,1,4,2,2,2,1,1,4,4,4,4,4,4,2,4,3,5,5,2,2,2,2,2,2,2,2,2,1,2,2,3,NA,NA,2,2,1,2,2,1,1,1,1,2,3,2,1,NA,NA,NA,NA,NA,NA,2,2,3,3,3,3,NA,NA,NA,NA,1,3,5,3,4,1,2,3,2,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,4,2,5,1,2,0.5109994421364623
101437,2023-08-02T00:23:32Z,2023-08-02T00:40:05Z,1,1,1,2,6,3,1,2,2,1,2,2,1,3,3,3,1,3,1,3,3,3,2,1,1,6,6,7,1,2,NA,NA,NA,2,2,5,1,4,3,3,1,1,NA,NA,1,3,1,1,1,1,1,4,4,3,4,4,1,2,1,3,1,5,2,2,2,2,2,2,2,2,2,1,2,2,3,NA,NA,2,2,1,2,3,3,1,3,1,2,4,1,3,NA,NA,NA,NA,NA,NA,2,2,2,2,3,2,NA,NA,NA,NA,2,2,4,3,3,2,2,4,2,NA,1,1,1,1,1,3,1,1,1,2,1,NA,1,1,1,1,1,2,2,1,0.5896691116032013
101493,2023-08-01T17:03:43Z,2023-08-01T17:18:17Z,1,1,2,1,5,5,2,2,1,1,2,1,2,1,2,1,2,3,2,1,1,1,1,3,3,3,3,7,1,2,4,2,NA,3,1,1,1,3,1,1,NA,NA,NA,2,2,NA,NA,2,1,1,1,3,4,4,4,4,3,1,3,2,4,4,2,2,1,2,2,2,2,2,2,2,2,2,NA,NA,NA,2,2,2,2,2,3,2,2,4,2,3,2,2,4,1,1,2,1,5,1,2,NA,NA,NA,NA,3,3,2,1,1,4,9,3,3,1,2,3,1,1,1,1,3,1,1,1,10,NA,3,6,1,NA,1,1,1,7,2,2,2,2,0.54761240545049
102198,2023-08-01T18:04:54Z,2023-08-01T18:12:58Z,1,1,1,2,5,2,1,2,2,1,2,2,1,3,1,1,1,3,1,3,3,2,2,7,2,7,3,7,NA,2,NA,2,NA,1,2,4,2,3,2,2,1,1,NA,NA,1,3,1,1,1,1,1,3,3,4,4,4,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,1,NA,2,3,2,2,2,3,3,1,1,1,2,4,2,2,NA,NA,NA,NA,NA,NA,2,2,3,1,3,1,NA,NA,NA,NA,1,1,2,2,1,2,1,5,2,NA,1,1,1,1,1,6,1,1,1,1,1,NA,1,1,1,8,2,1,1,2,0.9182183946745374
103060,2023-08-02T23:33:51Z,2023-08-05T06:22:22Z,1,1,1,1,2,4,99,99,99,1,99,2,1,2,3,1,3,1,1,1,3,1,1,2,1,1,2,5,1,6,6,2,2,5,2,2,2,4,99,3,1,2,NA,NA,3,NA,NA,1,1,1,2,5,4,4,4,4,4,2,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,1,NA,NA,2,2,2,1,2,2,2,2,2,1,1,4,2,2,5,2,1,3,1,5,2,1,3,3,1,1,NA,NA,NA,NA,1,3,5,2,4,2,2,4,2,NA,1,1,1,1,1,1,12,NA,3,6,2,NA,2,4,1,99,4,2,2,99,0.4053534840883577
